id,x1,x2,k
138,-0.2803760269315358,-0.9522403045512584,4
246,-0.3356991863081313,0.6662714269701469,8
61,0.4106955549116911,-0.87349486348719,2
236,0.28756059618536545,0.7120762904043689,7
70,0.4744547367288561,-0.9450958510788368,2
257,-0.4493144347577965,0.4977916302965015,8
86,0.4071161646378229,-0.8006339538031413,2
251,-0.26321262938824197,0.323697554970178,8
256,-0.3554962662657494,0.4144683200113104,8
30,0.7208728881547686,-0.4682301908352862,1
259,-0.054182138853778816,0.24106398955760666,8
135,-0.3515555091076905,-0.9096548923894184,4
54,0.8581737563890176,-0.3447532232759079,1
281,0.27523251525394776,0.5144411382823798,9
83,0.38751626015337853,-0.7351394975813031,2
107,-0.18731891072803294,-0.7099110402808808,3
279,0.1688725970254615,0.8526921749604041,9
12,0.31776592595584235,-0.9085407006291294,0
112,-0.01930693029876097,-0.7682680066056154,3
127,-0.263233853512818,-0.9580290361023921,4
193,-0.07322610589695212,-0.2814790973768049,6
139,-0.34504002510765525,-0.8967024273535804,4
173,0.017180037509670454,0.5970516104306405,5
95,0.12055203916319993,-0.6806324153847553,3
99,-0.11180171088209254,-0.6819621319897696,3
254,-0.3468532390164365,0.267525630933535,8
181,-0.06138431073550549,-0.17651665178903614,6
220,0.3304277916587534,0.6888616071535966,7
111,-0.14701208141381716,-0.6514394966094713,3
121,-0.2973486449652159,-0.9241142558938101,4
147,-0.2639126517398406,-0.9990111825590254,4
6,0.15860973578190665,-1.1742385787203422,0
296,0.3349572962264866,0.6589626823411564,9
188,-0.028554585055219194,-0.2130530892385639,6
203,-0.16398902278794034,-0.23978580124952326,6
74,0.4220545429582049,-0.8155115976571871,2
260,-0.2813871287659299,0.3211623726522881,8
194,-0.13148441464092064,-0.18683398610027585,6
8,0.40639709179880107,-1.0714717605936133,0
299,0.2832059969934242,0.6664699301969256,9
218,0.3808426255697346,0.7499487846261547,7
143,-0.2398647932997389,-0.9530194752986562,4
82,0.2553583927587406,-0.7908100565104734,2
219,0.2832656970849963,0.6066342018323994,7
153,0.10818650907538488,0.5024608435455827,5
24,0.34414179709610776,-0.8878520139709215,0
46,0.7087571293362182,-0.3805715249054096,1
235,0.4007695000356556,0.5929734878554545,7
172,0.16649557840098048,0.4900999245244025,5
58,0.7299936931071654,-0.3814900390976499,1
33,0.6269010693517427,-0.44204567327144,1
261,-0.29540044146654904,0.4687443893039015,8
87,0.3631931188128022,-0.8631709079401709,2
146,-0.2737167770852595,-1.0504062531035727,4
244,-0.37203423504956507,0.4882392869861178,8
160,0.18638498008175736,0.5301913511028256,5
0,0.16692781745551252,-1.0739609406082633,0
10,0.2506121514586904,-0.9096360001913588,0
140,-0.34449051576925066,-0.8754883109528567,4
158,0.1414715165146336,0.3120275757779447,5
253,-0.3993082733210416,0.5007334593663311,8
267,-0.43818289801576377,0.223739995364143,8
68,0.36868158938113743,-0.8664919321127426,2
185,-0.0918056305830239,-0.2553942390290457,6
77,0.2721431366983971,-0.7090197632629459,2
232,0.40336415954992777,0.6663592933775648,7
2,0.21038743618640854,-1.010086567829921,0
132,-0.29598024512930604,-0.8756127887413158,4
89,0.2752062358054985,-0.7639915509936615,2
97,-0.13193321210960268,-0.816116019858236,3
238,0.3468966960818524,0.6728004948961679,7
66,0.3566303440346613,-0.6626962301477997,2
29,0.19321978769986325,-0.9179570377870928,0
167,0.07899250729677453,0.4283798954330241,5
35,0.6669684315749717,-0.20813735068653366,1
134,-0.30920848426599273,-0.8239234421499454,4
9,0.24031096351689646,-1.0075243600189985,0
205,-0.001620107642881695,-0.20681542332616076,6
209,-0.07501731497752127,-0.17078404938350353,6
298,0.2665954685212613,0.64126889757029,9
105,-0.1238625312103595,-0.6814211230409077,3
224,0.3489677157369648,0.6604142652304212,7
129,-0.2161315731893818,-0.9548193055913708,4
165,0.040587514801101926,0.379225843611178,5
108,-0.1211388887666802,-0.6902853684261032,3
145,-0.3477546592039457,-1.0141004048624147,4
230,0.35217522157041203,0.6622842948005885,7
44,0.5747483807699786,-0.3081173929115385,1
81,0.1309891917417683,-0.6598402868274055,2
75,0.3020774280240023,-0.5943325280961641,2
249,-0.3066919625045383,0.3504637071598111,8
124,-0.3643903915659029,-0.9532621886303332,4
217,0.35180848320956176,0.7256440762555755,7
73,0.4966575771909317,-0.7292172842520636,2
155,0.07336716246855253,0.4591774794761457,5
162,0.2228270507729828,0.5369970404227459,5
148,-0.2873241752579269,-0.9616991954860536,4
248,-0.3481326667602551,0.6298828574776696,8
62,0.2801981844058502,-0.8004339890121148,2
94,-0.12813561010146818,-0.6689249712094061,3
270,0.05093012128239025,0.5799920822879483,9
110,-0.02679207537338724,-0.6385425034104918,3
36,0.8678974239538768,-0.4510635379661009,1
20,0.15980185412892384,-0.8676798258038992,0
102,-0.08042562957615224,-0.6429191510635708,3
64,0.21553954412888465,-0.7718367811143787,2
178,0.240141023714682,0.4628411745740466,5
137,-0.3048533244152936,-1.026237263352699,4
210,0.26900530084647745,0.7388914227190286,7
190,0.02267926822675613,-0.26666801302884435,6
38,0.6391662104212954,-0.3920084371159346,1
286,0.3364180965495749,0.6515545123866165,9
16,0.12913284662381094,-0.9519536343841136,0
116,0.003691745560417736,-0.638247110492655,3
186,0.024809187587282358,-0.2229652805196736,6
216,0.4001232269117124,0.6306404525878074,7
85,0.41097537989734456,-0.6665526967349693,2
176,0.1453028983556801,0.3909148072475911,5
57,0.6720298913890989,-0.3262519425293719,1
222,0.3771760873437666,0.6243289035538808,7
5,0.2795769958059253,-1.0133168975756648,0
41,0.8022944120022903,-0.3709911041189331,1
245,-0.1899986136897004,0.3286421341676136,8
78,0.3504997611724041,-0.8284827151153237,2
47,0.662695671194541,-0.2708525446474646,1
59,0.6436702193265782,-0.3307490644776459,1
182,-0.11226416270701664,-0.2382047627586465,6
42,0.62049731657472,-0.42374492332958696,1
234,0.3485863253329969,0.6455330792213758,7
282,0.15680388655174635,0.6453159070095601,9
264,-0.27009211268531197,0.4461437620654884,8
171,0.2283796645685829,0.3336639293108579,5
169,0.05189238892505185,0.4058544023595525,5
136,-0.21575128904510865,-0.9865962473726746,4
